易	日勿⼃
妇	女彐⺂
牛	牛⼃⼀
习	习⺂
警	𬜠口⼃
默	黑犬⼀
岁	山夕
骑	马大⼀
股	月殳⼃
划	戈刂⼁
负	⺈贝⼁
枪	木人
梅	木𠂉
采	爫木⼀
吸	口及⼃
富	宀𠮛⼁
舞	𠂉卌
肉	内人⼃
镇	钅直⼃⼂
野	里予⺂
床	广木⼀
某	甘木
醒	酉日⼃
验	马亼
读	讠十⺂
担	扌旦⼁
毒	龶母
封	圭寸
尚	⺌冂
纳	纟内⼁
伊	亻尹⺂
营	𫇦口⼁
猛	犭子⼁
短	矢豆⼀
旧	丨日⼁
脱	月𠮦⼃
遇	日⽱⼂⺂
词	讠𠃌
坏	土不
控	扌穴⼀
田	田⼁⺂
乡	丿⼃
刺	朿刂⼁
啦	口扌⼂
孙	孑小
翻	釆田⺂
藏	艹戊⺂
虎	虍几⼃
坚	𰀡土⼀
良	丶艮⺂
柔	矛木⼀⼁⼃
眉	𠃜目⼁
伸	亻日⼁⼁
窗	穴⼃
咱	口自⼃
婚	女氏⼁
戏	又戈⼀
逃	儿⼂⺂
赛	𡨄贝⼁⺂
扬	扌㇡⼃
凡	几丶⼂
凌	冫土⼃
配	酉己
练	纟⺂
率	亠幺⼂
贝	贝⼁
宇	宀于
茶	艹人⼀
优	亻尢⼂
杰	木灬⼂
吉	吉⼀⼁
卷	龹⺋⺂
创	人⺋⼁
罢	罒去⼀
秀	禾乃⺂
归	彐⺂
哭	吅犬⼀
凤	几又⺂
陆	阝𰀁
端	立山⼀
休	亻木⼀
库	广车⼀
序	广予⺂
善	羊䒑⼁
秘	禾心⼃
拍	扌白⼃⼁
案	宀女⼀
迷	米辶⼂
震	⻗辰⼀
免	
职	耳口
洋	氵羊⼂
寻	彐寸⼀
养	羊丶⼃⼁
珠	王丿⼀
歌	可可⼃
盘	舟皿⼁
朱	丿未⼀
演	氵宀⼀
虚	虍业⼁
呆	呆⼁⺂
付	亻寸⼀
笔	⺮毛⼃
适	舌辶⼂
康	广⺕
麻	麻⼂⼀
宁	宀丁⼀
吴	口天⼀
欲	八人⼁
罪	罒非
恨	忄艮⺂
杂	九朩⼀
套	大镸⼀
骨	骨⼁
紫	此糸⺂
软	车欠⼃
蒙	𫇦一⼀⼃
弹	弓单⼂
育	⺝⼁
企	人止⼁
仿	亻方⼂
泪	氵目⼁
曲	曲⼁⺂
鱼	鱼⼃⺂
兽	丷田⼀
略	田各⼃
握	扌尸⼀
厅	厂丁⼀
厉	厂万⼀
卖	十乛
供	亻共⼀
丹	冂亠
喊	口戊⼀⼁
峰	山夂
灯	火丁⼀
绿	纟彐⼁
夏	丆目
塔	土艹⼃⼂
桌	⺊日⼀
范	落⺋⺂
限	阝艮⺂
县	且厶
讨	讠寸⼀⼁
革	革⼀
燕	廿口⼁⼀
欧	区欠⼃
临	𠂉⼂
移	禾夕⼃
洞	氵冂⼀
剧	尸古⼁
油	氵由⼁
