⼀	e	
文	n	这文浏济齐刘挤剂
革	q	革霸鞋鞭勒鞠鞘嘞
戊	k	成感减藏城威咸喊
比	m	比毕批屁楷谐哔皆
音	m	音意竟章境暗韵镜
歹	b	死列例殊残烈裂歹
子	s	字好学子教存享李
虍	d	虑虎虚滤虐嘘虍唬
儿	x	儿竟充克跳兄党挑
	g	熟享衰哀郭哼敦亨
鸟	f	鸟鸡鹅鸦鸽鸭鸣鸵
寸	j	过时对导付讨封射
方	m	方放房旁防仿访邀
合	c	给合哈拿答鸽恰盒
斤	q	听近斯诉暂斤析欣
龷	p	错横散黄展惜撒借
束	z	速整懒束辣赖嗽嫩
丰	x	害割丰慧艳契逢酆
自	j	自道首息咱鼻臭齁
且	b	组且助姐宜租粗悬
𡗗	l	春棒奏凑秦蠢奉揍
由	a	由黄油抽邮轴宙迪
圭	h	挂哇封佳娃街鞋蛙
甫	f	辅博薄铺傅搏捕甫
非	z	非排靠罪辈啡悲徘
冫	w	准决况减冲冷冰凉
刂	n	到则利型列划刻判
可	g	可何歌奇哥阿呵河
羊	k	样养善羊鲜详洋祥
匕	n	老指它死疑尼脂凝
从	f	两从众坐座纵怂卒
分	s	分份粉贫纷盆掰扮
	g	高搞毫停亮敲稿豪
各	z	格各路落略客络额
龶	x	表毒素责绩啧麦债
六	q	较效六交校滚饺咬
吅	h	器品骂哭谔囊嚣愕
氏	m	低底纸婚氏抵昏祇
矛	h	橘矛柔鹜揉茅婺猱
二	y	二些传转专兰夸亏
耂	f	老佬教考烤拷耋耄
艮	h	很根跟限退眼良银
青	h	情请清精猜青静睛
	z	响向傻窗奥噢澳粤
千	n	重千插迁董乖纤忏
林	m	楚禁梦林森婪淋霖
令	q	领冷令零铃龄怜泠
页	n	题顶顺烦页须领预
𭤨	d	游族施旗旅旋旒镞
	h	旁帝榜膀蒂蹄滂缔
𰀆	w	来夹侠陕狭莱睐峡
者	f	都者猪署著嘟诸煮
直	h	直真置值填植镇殖
吉	n	结周颉吉洁雕袁猿
今	q	今念含贪吟岑晗衿
角	h	解确角触蟹懈桷薢
止	h	频肯步延止卸企扯
幺	p	率幻玄後幽幼慈幺
不	h	不还否坏歪环怀杯
⺝	h	有能肯背散育逍肖
⺶	k	着差翔羞搓羯馐鲝
京	l	就影京景惊凉谅掠
去	w	法去脚却丢罢劫磕
犬	p	然器突默状哭厌臭
𠮛	l	后感同事使逼司福
	x	统流弃充育撤辙旒
气	v	气汽氛氧氨氮氢氪
⺈	d	换色绝负衡赖陷唤
戈	k	找或戏战划域惑贼
干	n	干赶肝汗杆奸刊轩
壴	a	喜嘻鼓嘉膨嚭嬉彭
矢	v	知短智医疑族矧矣
见	f	现觉见规视观览舰
乍	z	怎作咋昨炸诈窄乍
龙	l	龙袭庞垄拢咙笼宠
釆	m	翻悉释播番藩蟠磻
龹	l	腾圈卷拳券眷蜷锩
骨	m	滑骨髓骼骸骷骱髅
厃	h	危脆诡跪瞻詹桅𬱟
耒	d	耗籍耕耙耦耖耱耤
巴	g	吧把巴色爬肥爸芭
占	t	点战站贴占店帖粘
夭	f	笑跃妖娇桥骄矫乔
先	g	选先洗赞宪攒缵酰
	c	常党掌堂赏撑棠裳
五	j	五语捂悟伍吾龉梧
乚	p	电乱世断甚礼孔甩
壬	s	挺任凭庭蜓壬廷恁
鬼	s	魔鬼魅愧魂魑魉魍
孑	s	熟孩孤孔孙郭吼逊
九	g	究九杂染仇抛轨旯
韦	j	围韩违伟韦祎讳韧
毛	w	笔毫毛尾耗橇毯撬
豕	h	家豪逐琢遂冢豕豚
丁	a	打顶丁钉订宁盯灯
夫	j	规肤失替夫潜迭扶
廿	d	世泄燕蝶碟谍廿屉
落	y	落范薄荡茫莎蒲藩
区	m	区欧驱抠呕讴殴枢
示	s	标示际禁款票飘宗
莫	y	模幕摸莫慕膜寞暮
癶	y	登葵凳瞪睽蹬阕澄
辟	b	僻避壁臂辟劈癖噼
鹿	m	麟麒鹿麋麀鏖麑麂
了	c	了承函疗辽涵蒸亨
至	g	到倒至致室屋侄窒
尢	x	就无优尬扰尴尤犹
旦	q	得但量查担旦胆碍
里	g	里重理量野童哩墅
走	m	起超越走趣赶徒赵
此	t	些此嘴紫柴疵呲訾
皮	z	被皮破波婆彼颇疲
少	v	少省秒抄沙妙炒吵
亦	p	变蛮湾恋弯亦迹挛
业	j	业显普虚噗壶黼邺
单	h	单弹禅阐蝉婵郸掸
亚	s	严恶亚晋哑瑨戬酽
	w	逸晚兔免勉冤馋挽
卑	d	牌卑脾碑啤俾睥椑
上	l	上让卡寂叔戚督椒
云	m	会动云运层坛魂芸
己	g	改记己起配纪岂忌
𢀖	p	经轻劲径颈氢茎痉
舌	n	话乱适活敌括甜辞
正	k	正证歪政症征惩怔
言	s	信言誓詈譬狺誌唁
双	f	双桑叠缀轰叕辍㙍
告	j	告造靠酷浩皓窖糙
牙	a	呀牙穿雅鸦邪讶芽
甘	d	某甜嵌甘媒谋煤酣
尧	p	烧晓绕骁翘饶跷浇
齿	h	龄齿龌龃龉龊𬺓啮
屮	y	出础屈拙蚩嗤茁黜
𠃌	t	词成书局司幻盛饲
廾	n	弄并升弃异瓶戒廾
水	n	水冰尿踏泉淼汞泵
牜	c	特物牲牺犊犄牡牝
加	t	加架咖驾茄贺嘉伽
勿	j	易物忽勿剔葱匆吻
亥	h	该核孩刻咳亥劾阂
黑	x	黑默墨嘿黝黥黟黠
皿	c	盘血盖盗监盒盆孟
欠	a	欢软吹欧欺砍欠歉
屯	b	纯顿囤炖屯钝饨吨
共	p	共供暴恭港洪哄拱
巛	w	巡巢邋鬣拶剿邕镴
髟	b	鬣髯髭髟鬘鬒髢鬏
⺀	w	实头买科料尽抖斗
士	l	装声士款志壮馨罄
卜	l	外卡处补卧卜盐卦
⺷	k	美盖羡姜曦羲恙漾
甬	t	通痛勇桶涌捅诵俑
衣	j	依衣袋裁袭裔裳袈
弋	k	试式武腻彧拭贰弋
	h	产商颜滴摘铲彦熵
未	d	末未味妹魅朱抹沫
巳	g	导包异熙巳巷刨馔
酋	d	尊遵蹲樽奠酋猷噂
是	s	是题提匙醍鳀瑅𫘨
也	d	也他地她池施驰弛
殳	d	没设般投疫股役殳
而	y	而需耐耍斋鲕陑耑
开	n	开形研型刑荆岍钘
灬	n	点热杰熬煮煎焦遮
内	l	内肉纳呐剐脔呙芮
平	h	平苹评秤萍坪呯鲆
麻	y	嘛麻魔磨摩蘑麽靡
母	v	每母毒繁拇敏姆纛
	x	帮邦绑寿筹畴涛铸
辰	y	晨震辰振辱唇褥缛
丷	w	兽遂丫吖伞𫟦燧柬
	b	壳毂壹穀榖壶懿觳
中	v	中种钟冲串肿忠患
𠃜	z	声眉媚馨罄鹛镅楣
𰀃	f	两再病俩辆陋丙魉
因	q	因嗯恩烟咽摁姻胭
朩	t	新条杀杂余亲途斜
	v	快候决块缺诀侯夬
亡	x	忘望盲忙亡氓荒妄
㇡	t	场扬汤荡肠烫杨玚
聿	s	键建律健津腱肆聿
	t	概即既朗郎唧慨暨
刍	x	急稳隐趋雏煞刍皱
乃	w	秀透奶仍扔乃隽盈
⺋	g	范仓创顾犯卷危怨
	p	迎印兜仰抑卵昂卿
曲	a	典曲遭曹觍澧碘淟
敖	k	熬傲嗷敖赘鳌螯鏊
豸	d	貌豹藐貂豺貊䝙豸
小	c	小东乐尘尖叔孙雀
生	g	生性星胜姓牲戥眚
光	h	光耀晃辉恍胱咣㿠
元	l	完玩元远冠园顽阮
彡	w	形参须肜彬彭衫杉
㐫	q	脑离恼魑璃漓禽篱
弟	x	弟递梯涕剃悌䏲睇
曾	w	增曾赠蹭僧罾嶒噌
	c	参惨掺渗瘆叁毵骖
𠀐	l	贵遗馈溃谴缱匮遣
瓜	y	瓜呱孤狐瓣瓞坬窳
天	f	天添奏昊舔吞吴蚕
肀	s	事唐庸萧妻肃箫鹔
于	a	于宇芋吁迂盂盱竽
丬	z	装将状奖酱壮浆寝
卩	w	服迎节报即却爷卫
公	c	公松翁讼蚣滃嗡颂
次	p	次资盗羡姿瓷茨咨
化	y	化华花货讹烨哗𮧵
糸	d	系索累紧素紫徽糸
戋	k	钱线残践浅贱栈戋
	p	留溜贸瘤遛馏鹠蹓
乛	t	买敢卖憨疏瞰撖澉
尹	c	群君伊裙郡笋尹鲪
	b	索脖勃嗦悖嚏饽鹁
川	w	顺州川训洲圳酬驯
𰀢	l	蓝览尴监鉴槛滥篮
豆	h	短豆逗登厨痘壹豌
鬲	l	隔融嗝膈鬲翮滆镉
辛	n	辛辣辞辨辩瓣辫辜
兼	y	兼赚嫌歉廉谦缣鳒
我	w	我哦俄鹅饿蛾莪锇
𠮦	k	说总阅脱税聪锐兑
主	k	主住注往驻柱拄疰
西	t	西牺晒洒恓茜硒栖
更	b	更便硬梗浭筻埂鲠
	y	受爱授瞬暧嗳绶阌
	j	候修悠倏攸翛莜滫
民	q	民眠氓珉岷暋泯苠
	d	度渡席遮蔗庶庹镀
牛	c	件牛牢吽牧犇荦牠
	n	师归班临帅筛狮辨
及	s	级极及圾吸笈岌汲
半	j	半判胖叛伴绊拌畔
争	b	争静净挣睁铮狰峥
	p	丝乡饔雍鸶芗㬎飨
疋	m	楚蛋旋胥𬸦醑湑疋
	n	费介齐剂肃渊乔鹔
予	h	序预野豫予墅纾妤
甲	a	甲鸭押闸钾岬匣呷
彑	a	互缘篆蠡彖彝彘瑑
畀	g	鼻齁痹箅淠劓鼾齇
堇	y	勤谨瑾馑慬墐槿殣
㡀	q	撇蔽弊憋敝黼𬭯黻
	y	练东炼陈冻栋拣胨
金	v	金鉴淦鏊鏖銮鑫蓥
尺	k	尽迟尺昼咫浕烬赆
𠦝	x	朝韩潮乾嘲戟擀瀚
𡨄	h	赛塞寒寨噻骞蹇褰
𬜠	d	警敬擎苟菊荀檠萄
折	m	拆折哲逝浙誓掀晢
缶	y	缺遥罐缸窑罅萄䓨
丑	a	丑扭钮羞纽妞杻狃
𦫻	p	荷茯葰莅荏茽葆蓓
屰	s	逆溯塑阙朔槊搠劂
尔	a	你称尔您弥玺迩鿭
凵	s	出击凶凵粜凼𠙶䢺
手	n	手拿掌摩拳摹挛挚
长	b	长张账帐胀怅𬬮枨
定	p	定淀绽腚碇琔锭靛
𰃮	n	学觉搅敩鲎泶喾𬒈
七	n	切七彻窃柒砌乇沏
父	l	爷父爸爹斧釜㳇㕮
执	d	势热执垫挚鸷贽亵
垂	z	睡锤垂捶缍棰陲唾
乙	p	忆亿乙艺钇汛厾迄
	n	函逃兆脊蹐嵴𫖯瘠
赤	c	赤赫赭哧赧郝赪螫
相	v	想相箱厢湘霜缃葙
身	z	谢身射躺躲躬躯榭
回	x	回颤茴禀徊亶蛔鹯
万	w	万厉励迈虿疠趸𬇕
北	z	背北剩乘乖冀褙邶
丘	q	兵宾岳丘乒乓浜蚯
叚	q	假霞瑕暇遐嘏瘕叚
奴	c	努怒奴弩驽砮帑孥
	y	察祭蔡𬶭磜漈瘵穄
朿	q	策刺棘枣僰莿洓
丆	d	夏寡嘎厦耰嗄頔奡
卯	p	聊柳峁昴铆卯茆泖
鼠	t	鼠鼹鼢鼫鼩鼷鼬鼱
爿	k	戕鼎臧爿寐奘牂寤
丨	j	个引旧畅申丫芈叟
井	y	进讲井耕琎阱肼汫
与	q	写考与焉屿鄢玙欤
	m	应兴举剑敛誉榉佥
㐅	h	刚凶淆囟鬯鬷冈崤
仑	a	论轮伦沦纶仑抡囵
求	w	求球救裘𨱇俅赇逑
𰀡	m	竖紧坚肾贤铿悭鲣
丽	c	丽鲡鹂酾骊俪逦郦
瓦	j	瓦瓷甑瓯佤瓴瓮甓
𦭝	w	懵萝蔑薯甍蠛薨瞢
面	h	面缅腼湎愐勔偭
发	x	发废拨泼酦䥽袯
用	t	用拥甭佣甪㶲痈
前	a	前剪箭煎湔翦谫
才	t	才闭材团财豺鼒
片	k	版片牌牖牒牍簰
代	b	代袋贷黛垈岱牮
段	g	段锻瑖椴煅缎塅
农	l	农浓脓侬𬪩秾哝
氺	n	录泰隶逮剥犀逯
𠀎	p	篝斠觏媾遘耩鞲
⺄	p	飞讯迅茕鲺虱
	p	乐砾跞栎泺轹
㠯	h	官追遣阜逭耜
丂	w	号兮巧饕朽鸮
旡	n	既暨簪僭𬶨谮
㇉	t	专永乌亏昶邬
⺕	c	康隶逮棣埭叇
𢦏	q	载截戴裁哉栽
𦣞	q	姬熙赜茝颐宧
	b	囊囔馕橐攮蠹
𭃂	s	那哪挪娜𦰡
下	l	下吓虾忑卞
以	b	以似拟姒苡
龵	n	看拜掰湃搿
三	p	三承仨叁闫
象	w	像象豫橡蟓
呆	s	保呆堡煲葆
义	n	义议仪蚁舣
久	t	久灸玖疚羑
	f	岛捣袅凫枭
𣎆	y	赢嬴蠃羸瀛
𦥑	t	舆爨璺盥亹
	d	在存荐茬
丩	b	叫收纠赳
	f	带滞𫶇䗖
	v	制卸御掣
	a	微薇徽徵
乎	b	乎呼轷烀
	b	具惧俱犋
爪	y	抓爬爪笊
⽱	l	遇愚颙禺
	x	逸兔免勉
𠕁	l	遍扁翩嗣
臣	q	卧臣宦嚚
毌	v	惯贯掼毌
𡭔	n	来赉慭
	b	然燃炙
之	k	之乏芝
亍	a	行亍鸻
𧘇	j	表哀袁
入	d	入汆籴
𣥂	c	频步颦
廴	r	建廷颋
戉	k	越魆钺
𰀁	l	击陆奉
食	p	食喰飧
镸	b	套肆蕻
⺗	c	恭慕忝
	n	倾顷庼
𧰨	h	毅蠡彖
	n	烝丞卺
㐄	j	舛逄桀
已	g	已屺
	v	所巨
𢆉	k	幸凿
	j	旅膂
𰀂	c	虐疟
凹	h	凹兕
毋	v	毋毐
丌	j	丌亓
車	y	墼軎
	j	年
四	c	四
	w	飞
禸	l	离
龰	m	足
雨	p	雨
	n	州
习	y	习
卌	f	舞
竹	l	竹
曰	w	曰
𠂔	x	姊
凸	h	凸
𠔿	x	夐
